POLE1,POLE2
1001,1815
1001,1881
1001,2071
1002,1861
1002,1939
1003,1860
1003,1878
1004,1908
1004,1945
1004,2061
1005,1930
1005,1980
1005,2095
1006,1894
1006,2062
1007,1836
1007,1934
1008,1830
1008,1899
1008,2037
1009,1880
1009,2019
1010,1840
1010,1869
1010,2075
1011,1858
1011,1972
1012,1831
1012,1852
1012,2066
1013,1921
1013,1981
1014,1853
1014,1964
1014,2067
1015,1832
1015,1857
1015,2084
1016,1817
1016,1959
1016,1998
1017,1862
1017,1870
1017,2094
1018,1920
1018,1988
1018,1991
1019,1895
1019,1898
1019,1963
1020,1946
1020,1961
1021,1911
1021,1935
1021,1993
1022,1890
1022,1986
1022,2010
1023,1910
1023,2005
1023,2096
1024,1915
1024,1990
1025,1833
1025,1922
1026,1902
1026,1979
1026,2086
1027,1888
1027,1943
1027,2038
1028,1957
1028,2101
1029,1928
1029,1992
1029,2097
1030,1835
1030,1885
1030,1960
1031,1923
1031,2078
1032,1868
1032,1954
1033,1886
1033,1932
1034,382
1034,391
1034,676
1034,685
1035,279
1035,581
1035,700
1035,742
1036,393
1036,438
1036,599
1037,411
1037,485
1037,584
1038,246
1038,280
1038,605
1038,703
1039,249
1039,619
1039,684
1040,361
1040,673
1040,717
1041,420
1041,443
1041,494
1042,555
1042,740
1042,745
1043,414
1043,482
1043,624
1044,236
1044,449
1044,687
1045,301
1045,397
1045,634
1046,258
1046,448
1046,731
1047,403
1047,574
1047,655
1047,674
1048,359
1048,457
1048,638
1049,267
1049,640
1049,738
1050,386
1050,454
1050,641
1051,302
1051,572
1051,645
1052,460
1052,559
1052,689
1053,338
1053,533
1053,630
1054,415
1054,464
1054,575
1055,349
1055,513
1055,669
1056,299
1056,476
1056,707
1057,223
1057,254
1057,569
1057,643
1058,281
1058,373
1058,474
1059,229
1059,265
1059,659
1060,288
1060,345
1060,396
1061,304
1061,365
1061,465
1061,602
1062,269
1062,388
1062,648
1063,285
1063,372
1063,486
1064,351
1064,378
1064,670
1064,744
1065,297
1065,363
1065,461
1066,320
1066,488
1066,646
1067,459
1067,563
1067,675
1068,250
1068,385
1068,642
1068,701
1069,470
1069,509
1069,614
1070,491
1070,500
1070,672
1071,237
1071,387
1071,615
1071,708
1072,483
1072,507
1072,560
1073,268
1073,322
1073,652
1073,714
1074,2249
1074,2517
1074,2558
1075,2111
1075,2121
1075,2252
1075,2436
1076,2532
1076,2567
1076,2732
1077,2556
1077,2715
1077,2765
1077,2775
1078,2536
1078,2570
1078,2629
1078,2924
1079,2546
1079,2549
1079,2968
1080,2116
